age,gender,category,size,subscription_status,discount_applied
55,Male,Clothing,L,Yes,Yes
19,Male,Clothing,L,Yes,Yes
50,Male,Clothing,S,Yes,Yes
21,Male,Footwear,M,Yes,Yes
45,Male,Clothing,M,Yes,Yes
46,Male,Footwear,M,Yes,Yes
63,Male,Clothing,M,Yes,Yes
27,Male,Clothing,L,Yes,Yes
26,Male,Outerwear,L,Yes,Yes
57,Male,Accessories,M,Yes,Yes
53,Male,Footwear,L,Yes,Yes
30,Male,Clothing,S,Yes,Yes
61,Male,Outerwear,M,Yes,Yes
65,Male,Clothing,M,Yes,Yes
64,Male,Outerwear,L,Yes,Yes
64,Male,Clothing,M,Yes,Yes
25,Male,Accessories,S,Yes,Yes
53,Male,Clothing,XL,Yes,Yes
52,Male,Clothing,S,Yes,Yes
66,Male,Clothing,M,Yes,Yes
21,Male,Clothing,M,Yes,Yes
31,Male,Clothing,M,Yes,Yes
56,Male,Clothing,M,Yes,Yes
31,Male,Clothing,XL,Yes,Yes
18,Male,Outerwear,M,Yes,Yes
18,Male,Clothing,M,Yes,Yes
38,Male,Accessories,M,Yes,Yes
56,Male,Clothing,L,Yes,Yes
54,Male,Accessories,M,Yes,Yes
31,Male,Clothing,S,Yes,Yes
57,Male,Accessories,L,Yes,Yes
33,Male,Clothing,L,Yes,Yes
36,Male,Outerwear,M,Yes,Yes
54,Male,Clothing,L,Yes,Yes
36,Male,Clothing,L,Yes,Yes
54,Male,Clothing,M,Yes,Yes
35,Male,Clothing,M,Yes,Yes
35,Male,Clothing,S,Yes,Yes
29,Male,Clothing,M,Yes,Yes
70,Male,Clothing,S,Yes,Yes
69,Male,Accessories,L,Yes,Yes
67,Male,Accessories,M,Yes,Yes
20,Male,Outerwear,M,Yes,Yes
25,Male,Accessories,L,Yes,Yes
39,Male,Accessories,S,Yes,Yes
50,Male,Clothing,XL,Yes,Yes
57,Male,Clothing,L,Yes,Yes
55,Male,Accessories,M,Yes,Yes
42,Male,Clothing,M,Yes,Yes
68,Male,Clothing,S,Yes,Yes
49,Male,Clothing,M,Yes,Yes
59,Male,Clothing,XL,Yes,Yes
42,Male,Clothing,M,Yes,Yes
29,Male,Clothing,S,Yes,Yes
47,Male,Outerwear,M,Yes,Yes
40,Male,Outerwear,M,Yes,Yes
41,Male,Accessories,XL,Yes,Yes
21,Male,Outerwear,M,Yes,Yes
69,Male,Clothing,M,Yes,Yes
63,Male,Accessories,L,Yes,Yes
50,Male,Clothing,L,Yes,Yes
55,Male,Accessories,M,Yes,Yes
30,Male,Footwear,S,Yes,Yes
33,Male,Accessories,L,Yes,Yes
65,Male,Footwear,S,Yes,Yes
65,Male,Accessories,M,Yes,Yes
31,Male,Clothing,S,Yes,Yes
45,Male,Outerwear,L,Yes,Yes
57,Male,Accessories,L,Yes,Yes
48,Male,Accessories,S,Yes,Yes
22,Male,Accessories,M,Yes,Yes
36,Male,Clothing,L,Yes,Yes
18,Male,Clothing,M,Yes,Yes
48,Male,Clothing,M,Yes,Yes
49,Male,Accessories,L,Yes,Yes
64,Male,Accessories,M,Yes,Yes
50,Male,Accessories,S,Yes,Yes
22,Male,Clothing,L,Yes,Yes
50,Male,Clothing,M,Yes,Yes
38,Male,Outerwear,M,Yes,Yes
19,Male,Footwear,XL,Yes,Yes
67,Male,Footwear,L,Yes,Yes
19,Male,Clothing,S,Yes,Yes
